company_id,year,free_cash_flow_cr,cfo_quality_score,cfo_quality_label,capex_cr,capex_label,fcf_conversion_rate
BAJFINANCE,Mar 2020,-33170.0,-4.637537993920972,Accrual Risk,33.20694623492834,Capital Intensive,-362.15744076864286
BAJFINANCE,Mar 2021,-1236.0,-0.18257918552036198,Accrual Risk,1.6083680125970081,Asset Light,-11.40326598394686
BAJFINANCE,Mar 2022,-30743.0,-5.277461582242458,Accrual Risk,20.059416579754117,Capital Intensive,-258.7794612794613
BAJFINANCE,Mar 2023,-52506.0,-3.659367396593674,Accrual Risk,25.09961121441163,Capital Intensive,-413.66107303238005
BAJFINANCE,Mar 2024,-79931.0,-5.034945678499758,Accrual Risk,13.044822818889617,Capital Intensive,-496.49667681222434
BAJFINANCE,TTM,,,Accrual Risk,,Capital Intensive,
BANKBARODA,Mar 2013,22682.0,4.803478981155519,High Quality,1.410460457713627,Asset Light,207.14155251141554
BANKBARODA,Mar 2014,41503.0,8.386219221604447,High Quality,1.8041173417690237,Asset Light,344.45182172794426
BANKBARODA,Mar 2015,17282.0,4.5159493670886075,High Quality,1.2378937993988643,Asset Light,128.3380365364622
BANKBARODA,Mar 2016,-14016.0,1.9890721239817206,High Quality,8.744732417738378,Capital Intensive,-55.20066165176637
BANKBARODA,Mar 2017,17314.0,9.630727762803234,High Quality,1.238953972072943,Asset Light,89.94285714285715
BANKBARODA,Mar 2018,-60106.0,32.5119825708061,High Quality,0.8989056800416885,Asset Light,-230.35296822902694
BANKBARODA,Mar 2019,-3986.0,-1.2427101200686106,Accrual Risk,4.795297319774694,Moderate,-15.440635289560333
BANKBARODA,Mar 2020,18392.0,18.889908256880734,High Quality,0.1761835350782686,Asset Light,45.319468743069756
BANKBARODA,Mar 2021,-1358.0,-0.5475308641975308,Accrual Risk,0.6337971310923918,Asset Light,-3.5671132125032834
BANKBARODA,Mar 2022,2565.0,0.7828060002521114,Moderate,4.9669550998160386,Moderate,6.836718375179913
BANKBARODA,Mar 2023,-22450.0,-1.423125624791736,Accrual Risk,1.159751542279081,Asset Light,-58.7219795453951
BANKBARODA,Mar 2024,-7559.0,-0.3325030473263024,Accrual Risk,1.0854965830088108,Asset Light,-17.03283084341693
BANKBARODA,TTM,,,Accrual Risk,,Capital Intensive,
BHARTIARTL,Mar 2013,3932.0,9.972651080723423,High Quality,24.27125164073973,Capital Intensive,17.125435540069684
BHARTIARTL,Mar 2014,1052.0,8.689301093077178,High Quality,29.326609522034847,Capital Intensive,3.968014484007242
BHARTIARTL,Mar 2015,5758.0,5.558438985736926,High Quality,23.20579390432982,Capital Intensive,17.135884768763766
BHARTIARTL,Mar 2016,13851.0,4.053677643986653,High Quality,14.597232005966934,Capital Intensive,40.75741525423729
BHARTIARTL,Mar 2017,-2400.0,6.668238622966282,High Quality,32.13642267566095,Capital Intensive,-6.793093688083782
BHARTIARTL,Mar 2018,1914.0,13.66941391941392,High Quality,33.80970244073622,Capital Intensive,6.363243458891585
BHARTIARTL,Mar 2019,-8216.0,11.889810426540285,High Quality,35.01609309234959,Capital Intensive,-31.88945815867101
BHARTIARTL,Mar 2020,-11469.0,-0.5912144534307331,Accrual Risk,33.81121557248769,Capital Intensive,-31.32750614586179
BHARTIARTL,Mar 2021,20919.0,-3.8988191523778712,Accrual Risk,27.118947284726087,Capital Intensive,46.200225269992714
BHARTIARTL,Mar 2022,13539.0,6.624563515954245,High Quality,35.58907565188293,Capital Intensive,23.532172280738344
BHARTIARTL,Mar 2023,26093.0,5.31659477496541,High Quality,28.19504833087786,Capital Intensive,36.60942279091955
BHARTIARTL,Mar 2024,27809.0,9.219210095816779,High Quality,34.063420943846594,Capital Intensive,35.51959331732489
BHARTIARTL,TTM,,,Accrual Risk,,Capital Intensive,
BEL,Mar 2013,214.0,-1.6893523600439078,Accrual Risk,27.94516180455922,Capital Intensive,31.988041853512705
BEL,Mar 2014,190.0,-0.5976890756302521,Accrual Risk,11.644676281067811,Capital Intensive,20.54054054054054
BEL,Mar 2015,595.0,1.1979949874686717,High Quality,11.828563372338925,Capital Intensive,50.46649703138253
BEL,Mar 2016,790.0,1.6903515332834704,High Quality,19.989121566494426,Capital Intensive,56.71213208901651
BEL,Mar 2017,3054.0,-0.04005252790544977,Accrual Risk,35.9865988909427,Capital Intensive,170.42410714285714
BEL,Mar 2018,-693.0,-0.480083857442348,Accrual Risk,0.05768676088837611,Asset Light,-33.98724865129966
BEL,Mar 2019,618.0,0.8023317435082141,Moderate,7.365998026964814,Moderate,21.244413887933998
BEL,Mar 2020,1921.0,1.4082191780821918,High Quality,5.004626773596545,Moderate,69.62667633200435
BEL,Mar 2021,2498.0,2.4252380952380954,High Quality,18.392515415692113,Capital Intensive,77.7224642190417
BEL,Mar 2022,-665.0,1.7529166666666667,High Quality,31.70223841749089,Capital Intensive,-19.886363636363637
BEL,Mar 2023,3907.0,0.4015405224380442,Accrual Risk,15.270102627720764,Capital Intensive,95.52567237163814
BEL,Mar 2024,-1265.0,1.1691342534504392,High Quality,29.228340240773633,Capital Intensive,-25.044545634527815
BEL,TTM,,,Accrual Risk,,Capital Intensive,
BHEL,Mar 2013,646.0,0.26281189302256086,Accrual Risk,2.2759339917796453,Asset Light,6.81219023515765
BHEL,Mar 2014,3644.0,1.2884066247858366,High Quality,2.19408002831071,Asset Light,79.58069447477615
BHEL,Mar 2015,1471.0,0.5662068965517242,Moderate,2.0751524438910702,Asset Light,68.70621205044371
BHEL,Mar 2016,397.0,-0.5297450424929179,Accrual Risk,0.09017839639286414,Asset Light,-29.255711127487103
BHEL,Mar 2017,-5.0,1.2307692307692308,High Quality,1.9848937291410504,Asset Light,-0.45662100456621
BHEL,Mar 2018,1950.0,2.2579908675799087,High Quality,3.333680230339612,Moderate,117.96733212341198
BHEL,Mar 2019,-1941.0,-3.852295409181637,Accrual Risk,6.303997897572352,Moderate,-95.52165354330708
BHEL,Mar 2020,-1015.0,1.9700272479564032,High Quality,8.745282579322556,Capital Intensive,763.1578947368421
BHEL,Mar 2021,518.0,-0.2074074074074074,Accrual Risk,0.2426483332370443,Asset Light,-16.98917677927189
BHEL,Mar 2022,-458.0,1.4831460674157304,High Quality,5.270850030644477,Moderate,-55.31400966183575
BHEL,Mar 2023,739.0,-1.1330275229357798,Accrual Risk,6.334260646265783,Moderate,70.78544061302682
BHEL,Mar 2024,-2382.0,-13.166666666666666,Accrual Risk,5.570669233666764,Moderate,-335.0210970464135
BHEL,TTM,,,Accrual Risk,,Capital Intensive,
BOSCHLTD,Dec 2012,47.0,0.9091858037578288,Moderate,9.516110405358587,Capital Intensive,3.4814814814814814
BOSCHLTD,Dec 2013,211.0,1.1943502824858756,High Quality,9.660842754367934,Capital Intensive,16.369278510473233
BOSCHLTD,Mar 2015,213.0,1.0433482810164425,High Quality,9.78818467648519,Capital Intensive,10.752145381120647
BOSCHLTD,Mar 2016,323.0,0.8608752449379491,Moderate,10.256674569631997,Capital Intensive,17.199148029818957
BOSCHLTD,Mar 2017,2703.0,0.8368753589890867,Moderate,11.940584571154767,Capital Intensive,137.69740193581254
BOSCHLTD,Mar 2018,559.0,1.261123267687819,High Quality,10.008554319931566,Capital Intensive,26.70807453416149
BOSCHLTD,Mar 2019,2359.0,0.3710888610763454,Accrual Risk,14.6131568059578,Capital Intensive,109.51717734447539
BOSCHLTD,Mar 2020,463.0,2.0553846153846154,High Quality,8.870148343832554,Capital Intensive,31.22049898853675
BOSCHLTD,Mar 2021,372.0,1.7323651452282158,High Quality,4.764354805515538,Moderate,31.986242476354253
BOSCHLTD,Mar 2022,238.0,0.22267871815940837,Accrual Risk,0.28008827024274313,Asset Light,16.27906976744186
BOSCHLTD,Mar 2023,1476.0,0.8525280898876404,Moderate,1.7549735414294325,Asset Light,81.54696132596685
BOSCHLTD,Mar 2024,1536.0,0.5032128514056224,Moderate,1.6918754110121361,Asset Light,73.31742243436754
BOSCHLTD,TTM,,,Accrual Risk,,Capital Intensive,
